SequenceID,Realm (-viria),Realm_score,Subrealm (-vira),Subrealm_score,Kingdom (-virae),Kingdom_score,Subkingdom (-virites),Subkingdom_score,Phylum (-viricota),Phylum_score,Subphylum (-viricotina),Subphylum_score,Class (-viricetes),Class_score,Subclass (-viricetidae),Subclass_score,Order (-virales),Order_score,Suborder (-virineae),Suborder_score,Family (-viridae),Family_score,Subfamily (-virinae),Subfamily_score,Genus,Genus_score,Subgenus (-virus),Subgenus_score,Species (binomial),Species_score
ICTVTaxoChallenge_773818,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Studiervirinae,NA,Ghunavirus,NA,NA,Ghunavirus Psa17,1,
ICTVTaxoChallenge_774176,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skunavirus,NA,NA,Skunavirus sv10W18,0.9882,
ICTVTaxoChallenge_774313,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iiscvirinae,NA,Jilinvirus,NA,NA,Jilinvirus ECOO78,0.9923,
ICTVTaxoChallenge_774439,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Guernseyvirinae,NA,Kagunavirus,NA,NA,Kagunavirus K1ind2,0.9805,
ICTVTaxoChallenge_774608,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korravirus,NA,NA,Korravirus drrobert,0.9917,
ICTVTaxoChallenge_77521,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heilongjiangvirus,NA,NA,Heilongjiangvirus Lb,0.9913,
ICTVTaxoChallenge_775424,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andromedavirus,NA,NA,Andromedavirus andromeda,0.9746,
ICTVTaxoChallenge_775808,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,Crassvirales,NA,NA,NA,Suoliviridae,NA,Loutivirinae,NA,Buchavirus,NA,NA,Buchavirus splanchnicus,0.9888,
ICTVTaxoChallenge_775875,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Klausavirus,NA,NA,Klausavirus dryang,0.9901,
ICTVTaxoChallenge_775893,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Demerecviridae,NA,Markadamsvirinae,NA,Tequintavirus,NA,NA,Tequintavirus HdH2,0.9905,
ICTVTaxoChallenge_776311,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chebruvirinae,NA,Brujitavirus,NA,NA,Brujitavirus babsiella,0.9778,
ICTVTaxoChallenge_776645,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceduovirus,NA,NA,Ceduovirus blBB94p4,1,
ICTVTaxoChallenge_776799,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pahexavirus,NA,NA,Pahexavirus PHL152M00,0.9936,
ICTVTaxoChallenge_776958,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Klausavirus,NA,NA,Klausavirus colucci,0.9888,
ICTVTaxoChallenge_776975,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,NA,NA,Votkovvirus,NA,NA,Votkovvirus S28C10,0.9729,
ICTVTaxoChallenge_778421,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Vilmaviridae,NA,Lclasvirinae,NA,Faithunavirus,NA,NA,Faithunavirus CELFI,0.9943,
ICTVTaxoChallenge_778485,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Salasmaviridae,NA,Northropvirinae,NA,Claudivirus,NA,NA,Claudivirus baseballfield,0.9896,
ICTVTaxoChallenge_778724,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pbunavirus,NA,NA,Pbunavirus USP1,0.9821,
ICTVTaxoChallenge_778903,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Studiervirinae,NA,Kayfunavirus,NA,NA,Kayfunavirus Vec13,1,
ICTVTaxoChallenge_779175,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceeclamvirinae,NA,Myrnavirus,NA,NA,Myranavirus phabba,0.9937,
ICTVTaxoChallenge_779216,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azeredovirinae,NA,Dubowvirus,NA,NA,Dubowvirus dv85,0.973,
ICTVTaxoChallenge_779817,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Microwolfvirus,NA,NA,Microwolfvirus purplehaze,0.9913,
ICTVTaxoChallenge_7799,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Skunavirus,NA,NA,Skunavirus sv62601,0.9999,
ICTVTaxoChallenge_780551,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chebruvirinae,NA,Brujitavirus,NA,NA,Brujitavirus HC,0.9747,
ICTVTaxoChallenge_780597,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Colwellvirinae,NA,Uliginvirus,NA,NA,Uliginvirus uligo,0.9866,
ICTVTaxoChallenge_780813,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Demerecviridae,NA,Mccorquodalevirinae,NA,Hongcheonvirus,NA,NA,Hongcheonvirus DUPPV,0.9934,
ICTVTaxoChallenge_781166,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,Crassvirales,NA,NA,NA,Intestiviridae,NA,Crudevirinae,NA,Drivevirus,NA,NA,Drivevirus gastrointestinalis,0.9974,
ICTVTaxoChallenge_781216,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ilzatvirus,NA,NA,Ilzatvirus teagan,0.9785,
ICTVTaxoChallenge_781487,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Twarogvirinae,NA,Lazarusvirus,NA,NA,Lazarusvirus apostate,0.9895,
ICTVTaxoChallenge_781702,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gilesvirus,NA,NA,Gilesvirus giles,0.9852,
ICTVTaxoChallenge_781721,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trabyvirinae,NA,Slepowronvirus,NA,NA,Slepowronvirus LPHM00113468,1,
ICTVTaxoChallenge_781809,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pepyhexavirus,NA,NA,Pepyhexavirus pepy6,0.9911,
ICTVTaxoChallenge_781875,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,NA,NA,Maculvirus,NA,NA,Maculvirus OWB,1,
ICTVTaxoChallenge_782182,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Slopekvirinae,NA,Drulisvirus,NA,NA,Drulisvirus KP34,0.9887,
ICTVTaxoChallenge_782243,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azeredovirinae,NA,Phietavirus,NA,NA,Phietavirus X2,0.9892,
ICTVTaxoChallenge_782497,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Zobellviridae,NA,NA,NA,Citrovirus,NA,NA,Citrovirus coptotermitis,0.9896,
ICTVTaxoChallenge_782520,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Tevenvirinae,NA,Dhakavirus,NA,NA,Dhakavirus wg01,0.9905,
ICTVTaxoChallenge_782561,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,Crassvirales,NA,NA,NA,Crevaviridae,NA,Doltivirinae,NA,Kahucivirus,NA,NA,Kahucivirus intestinalis,0.9967,
ICTVTaxoChallenge_783070,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bclasvirinae,NA,Julieunavirus,NA,NA,Julieunavirus julie1,0.9974,
ICTVTaxoChallenge_78334,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Herelleviridae,NA,Twortvirinae,NA,Kayvirus,NA,NA,Kayvirus G1,0.9993,
ICTVTaxoChallenge_783443,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pbunavirus,NA,NA,Pbunavirus Ab28,0.9928,
ICTVTaxoChallenge_783834,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Herelleviridae,NA,Twortvirinae,NA,Kayvirus,NA,NA,Kayvirus JD7,0.9932,
ICTVTaxoChallenge_78386,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gofduovirus,NA,NA,Gofduovirus GF2,0.994,
ICTVTaxoChallenge_784295,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nevevirus,NA,NA,Nevevirus P118,0.9835,
ICTVTaxoChallenge_784422,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Slopekvirinae,NA,Drulisvirus,NA,NA,Drulisvirus BO1E,0.9742,
ICTVTaxoChallenge_785089,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Tevenvirinae,NA,Tequatrovirus,NA,NA,Tequatrovirus teqhad,0.9957,
ICTVTaxoChallenge_785367,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,NA,NA,Cheungvirus,NA,NA,Cheungvirus NATL1A7,0.9997,
ICTVTaxoChallenge_785716,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chebruvirinae,NA,Brujitavirus,NA,NA,Brujitavirus xula,0.9796,
ICTVTaxoChallenge_786684,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vedamuthuvirus,NA,NA,Vedamuthuvirus BM13,0.9946,
ICTVTaxoChallenge_786753,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emalynvirus,NA,NA,Emalynvirus emalyn,0.9971,
ICTVTaxoChallenge_786853,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Herelleviridae,NA,Jasinskavirinae,NA,Pecentumvirus,NA,NA,Pecentumvirus AG20,0.9953,
ICTVTaxoChallenge_787765,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azeredovirinae,NA,Phietavirus,NA,NA,Phietavirus ROSA,0.977,
ICTVTaxoChallenge_787924,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Phleivirus,NA,NA,Phleivirus Phlei,0.9918,
ICTVTaxoChallenge_788009,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pahexavirus,NA,NA,Pahexavirus wizzo,0.9871,
ICTVTaxoChallenge_788111,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pukovnikvirus,NA,NA,Pukovnikvirus pukovnik,0.9995,
ICTVTaxoChallenge_788232,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Chimalliviridae,NA,NA,NA,Noxifervirus,NA,NA,Noxifervirus noxifer,0.993,
ICTVTaxoChallenge_788378,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benedictvirus,NA,NA,Benedictvirus swirley,0.9995,
ICTVTaxoChallenge_788425,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bcepfunavirus,NA,NA,Bcepfunavirus bcepF1,0.9936,
ICTVTaxoChallenge_788466,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Korravirus,NA,NA,Korravirus urla,0.9942,
ICTVTaxoChallenge_788801,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Tevenvirinae,NA,Tequatrovirus,NA,NA,Tequatrovirus shfl2,0.992,
ICTVTaxoChallenge_790462,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Austintatiousvirus,NA,NA,Austintatiousvirus papayasalad,0.995,
ICTVTaxoChallenge_791082,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Weiservirinae,NA,Amginevirus,NA,NA,Amginevirus amohnition,0.9905,
ICTVTaxoChallenge_79143,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Smoothievirus,NA,NA,Smoothievirus smoothie,0.9906,
ICTVTaxoChallenge_792137,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sepvirinae,NA,Traversvirus,NA,NA,Traversvirus P27,0.9872,
ICTVTaxoChallenge_792680,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Peduoviridae,NA,NA,NA,Peduovirus,NA,NA,Peduovirus R18C,0.9881,
ICTVTaxoChallenge_959323,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rauchvirus,NA,NA,Rauchvirus BPP1,0.9908,
ICTVTaxoChallenge_959384,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Demerecviridae,NA,Markadamsvirinae,NA,Epseptimavirus,NA,NA,Epseptimavirus stitch,0.9934,
ICTVTaxoChallenge_959406,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Teubervirus,NA,NA,Teubervirus AM6,0.9961,
ICTVTaxoChallenge_959709,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Demerecviridae,NA,Markadamsvirinae,NA,Epseptimavirus,NA,NA,Epseptimavirus atrejo,0.9921,
ICTVTaxoChallenge_959881,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sepvirinae,NA,Traversvirus,NA,NA,Traversvirus AU6Stx1,0.9743,
ICTVTaxoChallenge_959923,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Pootjesviridae,NA,NA,NA,Heverleevirus,NA,NA,Heverleevirus OLIVR5,0.9978,
ICTVTaxoChallenge_960353,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ounavirinae,NA,Felixounavirus,NA,NA,Felixounavirus BPS15Q2,0.9977,
ICTVTaxoChallenge_960482,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Tevenvirinae,NA,Jiaodavirus,NA,NA,Jiaodavirus mineola,0.989,
ICTVTaxoChallenge_960906,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gracegardnervirinae,NA,Cheoctovirus,NA,NA,Cheoctovirus emma,0.975,
ICTVTaxoChallenge_960932,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Schitoviridae,NA,Enquatrovirinae,NA,Gamaleyavirus,NA,NA,Gamaleyavirus EC1UPM,0.9941,
ICTVTaxoChallenge_96099,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Straboviridae,NA,Tevenvirinae,NA,Tequatrovirus,NA,NA,Tequatrovirus teqdroes,0.9821,
ICTVTaxoChallenge_961066,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bclasvirinae,NA,Pipefishvirus,NA,NA,Pipefishvirus athena,0.9981,
ICTVTaxoChallenge_961305,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Slopekvirinae,NA,Drulisvirus,NA,NA,Drulisvirus KpV475,0.9751,
ICTVTaxoChallenge_96133,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Kyanoviridae,NA,NA,NA,Nereusvirus,NA,NA,Nereusvirus tusconc4,0.9925,
ICTVTaxoChallenge_961366,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Molineuxvirinae,NA,Vectrevirus,NA,NA,Vectrevirus cee,0.9989,
ICTVTaxoChallenge_961414,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nevevirus,NA,NA,Nevevirus P162,0.9866,
ICTVTaxoChallenge_962033,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Ackermannviridae,NA,NA,NA,Campanilevirus,NA,NA,Campanilevirus YC,0.989,
ICTVTaxoChallenge_962117,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Salasmaviridae,NA,NA,NA,Harambevirus,NA,NA,Harambevirus harambe,1,
ICTVTaxoChallenge_962179,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Squashvirus,NA,NA,Squashvirus squash,0.9951,
ICTVTaxoChallenge_962194,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Parlovirus,NA,NA,Parlovirus parlo,0.9909,
ICTVTaxoChallenge_962209,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nymbaxtervirinae,NA,Baxterfoxvirus,NA,NA,Baxtervirus yeezy,0.9973,
ICTVTaxoChallenge_962265,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bronfenbrennervirinae,NA,Biseptimavirus,NA,NA,Biseptimavirus P1105,0.9795,
ICTVTaxoChallenge_962337,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pclasvirinae,NA,Fishburnevirus,NA,NA,Fishburnevirus jung,0.9928,
ICTVTaxoChallenge_962814,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vividuovirus,NA,NA,Vividuovirus mckinley,0.9908,
ICTVTaxoChallenge_963030,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Schitoviridae,NA,NA,NA,Triduovirus,NA,NA,Triduovirus Tr2,0.9793,
ICTVTaxoChallenge_963143,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ceeclamvirinae,NA,Bixzunavirus,NA,NA,Bixzunavirus mangeria,0.9908,
ICTVTaxoChallenge_963296,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,Autographiviridae,NA,Studiervirinae,NA,Przondovirus,NA,NA,Przondovirus pharr,1,
ICTVTaxoChallenge_963689,Duplodnaviria,NA,NA,NA,Heunggongvirae,NA,NA,NA,Uroviricota,NA,NA,NA,Caudoviricetes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gracegardnervirinae,NA,Cheoctovirus,NA,NA,Mycobacterium virus Shilan,0.9817,
